PlantNum,WTM_X,WTM_Y,AY,Course,Density,Bed,PlotID,Row,RowID,OldLocFt,NewLoc,NewLocFt,NewLocIn,NewLocDecFt,NewLocM,PlotLen,PlotLenFt,PlotLenIn,PlotLenDecFt,PlotLen_m,RelativePos,FrontX_WTM,BackX_WTM,FrontY_WTM,BackY_WTM
109,556079.3096,405074.2964,1,5,Low,3,L-503,3,L-503-3,8'4,9'0,9,0,9,2.7432,21'3,21,3,21.25,6.477,0.423529412,556079.3111,556079.3076,405071.5561,405078.0262
110,556079.3096,405074.3725,0,5,Low,3,L-503,3,L-503-3,8'10,9'3,9,3,9.25,2.8194,21'3,21,3,21.25,6.477,0.435294118,556079.3111,556079.3076,405071.5561,405078.0262
111,556079.311,405071.7845,0,5,Low,3,L-503,3,L-503-3,0'6,0'9,0,9,0.75,0.2286,21'3,21,3,21.25,6.477,0.035294118,556079.3111,556079.3076,405071.5561,405078.0262
112,556079.3094,405074.7531,0,5,Low,3,L-503,3,L-503-3,10'1,10'6,10,6,10.5,3.2004,21'3,21,3,21.25,6.477,0.494117647,556079.3111,556079.3076,405071.5561,405078.0262
113,556079.3092,405075.0576,1,5,Low,3,L-503,3,L-503-3,11'0,11'6,11,6,11.5,3.5052,21'3,21,3,21.25,6.477,0.541176471,556079.3111,556079.3076,405071.5561,405078.0262
114,556079.3081,405077.0874,1,5,Low,3,L-503,3,L-503-3,17'10,18'2,18,2,18.1667,5.5372,21'3,21,3,21.25,6.477,0.854901961,556079.3111,556079.3076,405071.5561,405078.0262
115,556078.324,405074.6567,1,5,Low,3,L-503,1,L-503-1,9'11,NA,,,0,3.023,20'9,20,9,20.75,6.3246,0.477974892,556078.3516,556078.2938,405071.5675,405078.0306
116,556092.6755,405075.5817,0,5,Low,1,L-511,1,L-511-1,12'7,12'11,12,11,12.9167,3.937,20'4,20,4,20.3333,6.1976,0.635245902,556092.6766,556092.6748,405071.665,405077.8307
117,556093.2337,405073.5197,1,5,Low,1,L-511,2,L-511-2,5'8,6'2,6,2,6.1667,1.8796,20'7,20,7,20.5833,6.2738,0.299595142,556093.2336,556093.2341,405071.6658,405077.8537
118,556093.2339,405075.3986,0,5,Low,1,L-511,2,L-511-2,11'11,12'5,12,5,12.4167,3.7846,20'7,20,7,20.5833,6.2738,0.603238866,556093.2336,556093.2341,405071.6658,405077.8537
